role
ADMIN
TEST
API
LIGHTAUTH_API
LIGHTAUTH_ADMIN
LIGHTAUTH_CREATE
LIGHTAUTH_UPDATE
LIGHTAUTH_DELETE
LIGHTAUTH_READ
